"ca01","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns14","cns15","cns16","cns17","cns18","cns19","cns20"
34,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,74,0,30,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,15,17,0,0,0,0,1,0,0,19,0,70,4,0
77,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,114,0,0
34,0,0,0,0,113,0,11,0,0,0,0,0,0,0,0,0,10,0,0
40,8,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,0,0,0,0,0,0,0,0,0,0,8,0,0,0,289,0,0,0,0
36,45,0,0,0,3,0,14,0,4,0,0,0,0,0,0,0,19,13,62
31,0,0,0,0,2,0,27,0,0,1,1,5,0,0,0,0,23,4,0
76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,613
40,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1394,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,0
32,0,0,0,0,21,0,10,0,0,0,0,0,0,0,9,1,18,7,0
31,0,0,0,3,0,0,6,0,0,0,2,9,0,0,0,0,41,0,0
128,0,0,0,0,10,0,65,0,0,0,0,0,0,0,0,0,217,0,32
110,0,0,0,0,34,0,43,0,0,0,0,0,0,0,0,0,176,0,0
41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,120,0,0
32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0
85,0,0,0,0,9,0,57,0,0,0,0,0,0,0,0,0,107,0,0
63,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,93,0,0
40,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,93,0,0
50,0,0,0,0,1,0,0,0,1,5,1,0,0,0,1,0,114,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,5,0
75,426,0,0,0,0,0,31,0,0,11,0,0,0,0,1,0,17,0,0
58,3,0,0,1,0,0,47,0,12,10,9,6,0,0,9,4,70,0,81
40,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,4,0,0
36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0
41,0,0,0,0,0,82,0,0,0,0,0,0,0,351,11,0,0,0,0
72,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,1,48,0,0,0,0,0,0,0,0,145,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0
71,544,0,0,2,0,86,1,0,0,0,0,0,0,0,5,0,0,0,0
33,6,0,0,5,55,0,2,0,0,1,0,0,0,5,5,0,40,0,16
81,0,0,0,0,145,0,76,0,0,0,1,0,0,0,0,3,13,0,0
232,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0
227,1008,0,0,19,7,110,129,1,0,0,3,62,0,0,26,0,0,11,1
42,207,3,0,18,0,26,40,26,0,0,0,1,0,0,0,0,0,7,0
36,0,0,0,0,229,1,22,0,0,0,0,0,0,0,0,0,0,0,0
70,532,0,0,12,0,52,10,0,0,0,0,0,0,0,0,0,0,0,0
58,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,404,0,0,0,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,254,2,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,1,60,0,0,24,33,0,19,55,0,0,0,0,30,0,0
37,1,0,0,25,0,0,36,0,25,0,0,0,0,0,0,0,17,6,0
80,0,0,0,229,0,70,0,0,0,0,13,47,24,0,0,27,0,2,0
46,245,0,0,4,0,7,13,0,0,0,0,5,0,0,0,0,0,0,0
63,0,0,0,40,0,45,127,0,0,0,0,7,0,0,42,9,2,0,0
62,6,0,0,0,0,20,70,3,0,12,10,0,0,0,0,0,109,3,0
275,0,0,0,0,5,1,368,0,23,0,0,0,0,0,0,0,211,27,0
244,0,0,1,40,0,1,62,0,0,20,0,13,0,0,30,7,301,15,0
100,0,0,0,0,0,0,12,0,0,20,0,0,0,0,0,0,111,9,0
66,0,0,0,25,0,20,0,0,41,1,2,0,0,0,0,0,69,11,0
203,0,0,0,0,3,0,22,2,0,16,34,6,0,0,1219,0,0,0,4
68,12,0,0,0,0,0,113,0,0,2,24,1,0,0,10,0,15,0,11
45,0,0,9,0,0,0,5,0,0,34,0,14,0,0,19,3,66,11,53
92,0,0,0,0,0,0,303,0,0,0,0,0,0,0,4,0,5,2,0
107,0,0,0,55,56,2,30,0,0,4,0,0,0,3,8,0,126,0,0
67,0,0,0,30,0,0,118,26,0,0,0,0,0,0,0,0,13,11,0
37,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,52,7,0
80,0,0,0,4,17,72,102,13,0,3,3,2,0,0,0,0,57,15,155
31,0,0,0,4,0,0,79,0,0,24,4,0,0,0,2,0,10,8,0
44,0,0,0,4,0,0,0,0,0,0,0,0,0,396,22,0,0,0,0
68,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,56,2,0
47,0,0,0,0,0,2,65,0,0,0,0,0,0,0,0,0,0,0,0
55,3,0,0,0,0,0,31,0,0,1,17,43,0,0,13,0,45,0,0
44,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,41,60,5,0
106,0,0,0,0,0,0,0,34,0,0,0,18,0,0,0,0,0,81,164
46,0,0,0,33,17,0,5,0,0,0,0,19,0,22,0,0,0,4,0
31,0,0,0,0,0,0,13,0,0,29,0,33,0,0,12,11,0,8,0
53,0,0,0,0,151,12,71,54,0,4,0,0,2,0,0,0,0,13,0
38,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,47,0,0
50,0,0,0,0,0,0,0,0,0,0,0,11,0,0,29,0,0,0,432
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0
60,0,0,888,0,0,0,0,0,63,9,0,10,0,0,0,0,4,0,0
43,0,0,0,0,0,0,1,0,8,21,5,0,0,0,0,0,17,0,8
44,0,0,0,15,0,0,17,0,0,5,0,7,0,2,0,3,49,12,0
32,0,0,0,0,0,0,4,0,1,1,102,2,0,0,0,0,0,10,0
178,672,0,0,0,0,6,11,0,0,0,6,4,0,5,10,0,79,11,0
79,0,0,0,4,0,9,28,0,117,4,2,19,0,20,3,0,37,7,0
37,0,0,0,0,1,0,23,0,0,0,3,29,0,7,96,0,0,16,0
37,3,0,0,0,0,0,18,0,46,1,0,34,0,1,1,0,2,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2417,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,5,0,0,0,178,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0
176,0,0,0,0,0,0,0,0,0,0,2,0,0,1237,32,0,5,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
49,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,12,0,23
53,0,0,0,0,1,0,111,0,0,1,0,0,0,0,0,0,21,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0
37,0,0,0,0,259,0,0,58,0,0,0,2,0,0,0,0,0,0,0
32,0,0,0,5,39,0,19,16,0,0,0,0,0,0,0,0,6,2,0
71,0,0,0,0,0,1,87,0,0,8,1,0,0,0,7,10,57,0,38
36,0,0,0,0,0,4,15,0,0,32,0,0,0,4,0,0,49,7,0
36,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,70,0,0
33,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,0
39,0,0,0,0,4,0,12,0,0,1,0,2,0,0,0,0,58,16,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,113,0,0
33,0,0,0,0,0,0,6,0,0,3,0,0,17,0,162,0,26,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0
80,0,0,0,0,0,0,0,0,0,0,0,1,0,581,0,3,28,4,295
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,0,0,6,0
40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,0
47,0,0,0,10,0,0,74,0,0,0,0,7,0,0,0,0,31,5,0
64,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,96,5,0
36,0,0,0,0,0,0,25,0,0,0,0,15,0,0,0,22,49,0,0
39,16,0,0,0,0,8,42,26,0,3,3,4,0,0,12,0,33,4,0
82,0,0,0,0,0,10,274,0,0,0,0,8,0,3,1,0,17,0,0
34,0,0,0,69,117,0,0,26,0,0,0,0,0,0,0,1,0,0,0
31,0,0,0,0,132,0,4,0,0,0,0,0,0,0,17,0,0,0,0
53,0,0,0,10,108,27,1,0,0,0,0,0,0,0,0,0,0,6,0
33,0,0,0,32,6,25,9,0,0,0,0,5,0,6,9,0,0,20,0
39,0,0,0,0,0,0,161,17,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,5,0
48,0,0,0,0,0,0,199,0,0,0,2,2,0,0,0,0,0,0,0
116,0,0,0,7,2,0,298,4,0,15,0,29,0,0,0,0,66,12,0
32,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,59,4,0
