"agep","schg","esr","puma","serialno"
19,"15","1","11612","2017001190863"
16,"13","1","11614","2017001162789"
17,"14","1","11613","2017001195976"
19,"15","1","11610","2017001207408"
20,"15","1","11611","2017001203457"
18,"14","1","11610","2017001200419"
20,"15","1","11613","2017001201352"
17,"15","1","11610","2017001207408"
20,"15","1","11610","2017001207408"
22,"15","1","11614","2017001214990"
20,"15","1","11614","2017001222052"
24,"14","1","11611","2017001216725"
22,"15","1","11610","2017001221702"
20,"15","1","11613","2017001285194"
17,"13","1","11611","2017001332764"
24,"15","1","11613","2017001286957"
24,"15","1","11613","2017001286957"
21,"15","1","11611","2017001316682"
19,"15","1","11604","2017001348004"
23,"15","1","11613","2017001378874"
21,"15","1","11613","2017001378874"
19,"14","1","11613","2017001378874"
19,"15","1","11604","2017001422246"
18,"15","1","11604","2017001406967"
19,"15","1","11604","2017001411064"
19,"15","1","11604","2017001460044"
18,"15","1","11604","2017001425401"
20,"15","1","11604","2017001510688"
21,"15","1","11604","2017001463139"
21,"15","1","11604","2017001489813"
